ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
6703,CHRIS TIERNEY PRIV,K4P 1H6,Ward 20,,S PT LOT 15,***CONTRACTOR***,Single,Osgoode,Construct a covered porch on a 1 storey mobile home (front),0,1350,135,1304337,Construction,2013-07-02
1080,BAKERVALE DR,K1Z 6N9,Ward 16,311897,26,BLUEPRINT CONSTRUCTION SERVICES LIMITED,Single,Old Ottawa,Exterior alterations to a 1 storey detached dwelling (create walk-out for basement),0,10000,60,1304338,Construction,2013-07-02
400,DRUMHELLER PL,K2T 0H1,Ward 5,4M-1489,166,UNIFORM URBAN DEVELOPMENTS,Single,Kanata,Construct a 1 storey detached dwelling,1,377618,2625,1304339,Construction,2013-07-02
250,CITY CENTRE AVE,K1R 6K7,Ward 14,,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 1st and 2nd floor floor of a 2 storey office building,0,380000,10613,1304340,Construction,2013-07-02
118,WATERSHIELD RIDGE,K2J 5T8,Ward 3,4M-1427,43L &43R,LARCO CORPORATION,Semi - Detached,Nepean,Construct a 2 storey semi-detached dwelling,2,535186,4166,1304341,Construction,2013-07-02
120,WATERSHIELD RIDGE,K2J 5T8,Ward 3,4M-1427,43L &43R,LARCO CORPORATION,Semi - Detached,Nepean,Construct a 2 storey semi-detached dwelling,2,535186,4166,1304341,Construction,2013-07-02
105,CARILLON ST,K1L 5Y4,Ward 12,113,73 AND 74,ABBAS AND COMPANY,Single,Vanier,Construct a 1 storey addition to a 1 storey detached dwelling (rear),0,24526,165,1304342,Construction,2013-07-02
130,WATERSHIELD RIDGE,K2J 5T8,Ward 3,4M1427,46,LARCO CORPORATION,Semi - Detached,Nepean,Construct a 2 storey semi detached dwelling with attached garage,2,506729,3910,1304343,Construction,2013-07-02
132,WATERSHIELD RIDGE,K2J 5T8,Ward 3,4M1427,46,LARCO CORPORATION,Semi - Detached,Nepean,Construct a 2 storey semi detached dwelling with attached garage,2,506729,3910,1304343,Construction,2013-07-02
152,GOULBURN AVE,K1N 8E2,Ward 12,4M-98628,37-38,N C CONSTRUCTION,Apartment,Old Ottawa,Repair a 2nd storey balcony on a 2 storey apartment building (front),0,7000,0,1304344,Construction,2013-07-02
6506,JACK PINE CRES,K4P 1E1,Ward 20,,PT LOT 3,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a deck (side yard),0,1600,160,1304345,Construction,2013-07-02
2  -21,MONTCALM ST,K1S 5K9,Ward 17,236,,GCW RENOVATION,Rowhouse,Old Ottawa,Interior alterations in a 2 storey stacked rowhouse (Bathroom),0,8000,75,1304346,Construction,2013-07-02
15,DRAFFIN CRT,K2G 5T9,Ward 8,4M-623,,"BERUBE, JASON",Rowhouse,Nepean,Remove/replace existing 36 decks on 2 storey rowhouses (rear yard),0,36000,28,1304347,Construction,2013-07-02
16,DRAFFIN CRT,K2G 5T9,Ward 8,4M-623,,"BERUBE, JASON",Rowhouse,Nepean,Remove/replace existing 36 decks on 2 storey rowhouses (rear yard),0,36000,28,1304347,Construction,2013-07-02
17,DRAFFIN CRT,K2G 5T9,Ward 8,4M-623,,"BERUBE, JASON",Rowhouse,Nepean,Remove/replace existing 36 decks on 2 storey rowhouses (rear yard),0,36000,28,1304347,Construction,2013-07-02
18,DRAFFIN CRT,K2G 5T9,Ward 8,4M-623,,"BERUBE, JASON",Rowhouse,Nepean,Remove/replace existing 36 decks on 2 storey rowhouses (rear yard),0,36000,28,1304347,Construction,2013-07-02
