ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
1125,COLONEL BY DR,K1S 5R1,Ward 17,4M-,PT LOTS L M,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior alterations to a 4 storey building (Level 3, St. Patrick's Building, Carleton University)",0,100000,5570,1305510,Construction,2013-08-01
2014,WILDFLOWER DR,K1E 3S8,Ward 19,50M-140,195,***CONTRACTOR***,Single,Cumberland,Remove a load bearing wall between the kitchen and dining room,0,1500,12,1305511,Construction,2013-08-01
130,SLATER ST,K1P 6E2,Ward 14,4M-3922,PT LOTS 48 & 49,CAVANAUGH CONSTRUCTION LTD,Office,Old Ottawa,Interior alterations on the 2nd floor of a 13 storey office building (Suite 250),0,35000,2673,1305512,Construction,2013-08-01
609,MEADOWRIDGE CIR,,Ward 5,,17,D&H RIVINGTON ENTERPRISES INC.,Semi - Detached,West Carleton,Construct a 2 storey semi-detached dwelling,2,366918,3262,1305519,Construction,2013-08-01
611,MEADOWRIDGE CIR,,Ward 5,,17,D&H RIVINGTON ENTERPRISES INC.,Semi - Detached,West Carleton,Construct a 2 storey semi-detached dwelling,2,366918,3262,1305519,Construction,2013-08-01
606,MEADOWRIDGE CIR,,Ward 5,,17,***CONTRACTOR***,Single,West Carleton,Construct a 2 storey detached dwelling,1,239196,1736,1305520,Construction,2013-08-01
286,DOVERCOURT AVE,K1Z 7H5,Ward 15,310,24 & 25,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,311766,4575,1305521,Construction,2013-08-01
288,DOVERCOURT AVE,K1Z 7H5,Ward 15,310,24 & 25,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,311766,4575,1305521,Construction,2013-08-01
3520  -69,DOWNPATRICK RD,K1V 8T4,Ward 10,4M-42,,***CONTRACTOR***,Stacked Rowhouse,Old Ottawa,Finish the basement in a 2 storey rowhouse,0,24711,665,1305522,Construction,2013-08-01
827,SOMERSET ST W,K1R 6R4,Ward 14,13,87,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Exterior alterations to a 2 storey mixed use building,0,6500,152,1305523,Construction,2013-08-01
44,GRANGE AVE,K1Y 0N7,Ward 15,M-52,768,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a detached carport (rear yard),0,5000,264,1305524,Construction,2013-08-01
24,MANCHESTER ST,K2S 0R8,Ward 6,,23,HEWLETT CONSTRUCTION,Demolition,Goulbourn,Demolish a 2 storey detached dwelling (due to fire),-1,16000,-1100,1305525,Demolition,2013-08-01
