ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
156,GRAINSTONE WAY,K2T 0H3,Ward 5,,207,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 storey detached dwelling,1,511322,3440,1303378,Construction,2013-06-03
329,COTE ROYALE CRES,K1E 3M1,Ward 1,50M-89,20,***CONTRACTOR***,Single,Cumberland,Install an enclosure for an above ground pool (rear yard),0,0,0,1303379,Pool Enclosure,2013-06-03
200,GRAINSTONE WAY,K2T 0H2,Ward 5,4M-1489,185,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 storey detached dwelling,1,506268,3406,1303380,Construction,2013-06-03
1189,TARA DR,K2C 2H4,Ward 8,347553,616,"DE VARENNES, MITCH",Single,Old Ottawa,Interior/exterior alterations to add rear door and construct a deck (rear yard),0,10000,169,1303381,Construction,2013-06-03
152,GRAINSTONE WAY,K2T 0H3,Ward 5,4M-1489,209,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 storey detached dwelling,1,544320,3662,1303382,Construction,2013-06-03
25,THE MASTERS DR,K1V 9W5,Ward 16,M213,88,"MACMASTER, FRED",Single,Old Ottawa,Construct a porch (side yard),0,18000,240,1303383,Construction,2013-06-03
7353,BLUE WATER CRES,K4P 0C5,Ward 20,4M-1397,18,MCI POOLS (OLD HWY 17),Single,Osgoode,Install an enclosure for an inground pool (rear yard),0,0,0,1303384,Pool Enclosure,2013-06-03
4,MOHAWK CRES,K2H 7G6,Ward 8,420161,80,CONTRACTOR UNKNOWN,Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,1303385,Pool Enclosure,2013-06-03
119,EAGLE CREEK CRT,,Ward 5,4M-770,17,MERMAID POOLS (OGILVIE ROAD),Single,West Carleton,Install an enclosure for an inground pool (rear yard),0,0,0,1303386,Pool Enclosure,2013-06-03
48,PRITCHARD DR,K2G 1B4,Ward 9,378656,345,***CONTRACTOR***,Single,Nepean,Construct a deck ( rear yard),0,6000,492,1303387,Construction,2013-06-03
352,MOCKINGBIRD DR,K1E 2A7,Ward 1,50M-15,113,***CONTRACTOR***,Semi - Detached,Cumberland,Remove and reconstruct a semi-detached dwelling,1,148789,1001,1303388,Construction,2013-06-03
5676,TRUDEAU AVE,K0A 3H0,Ward 19,4M-1393,18,LES MAISONS ST-DENIS HOME INC,Single,Cumberland,Construct a 1 storey detached dwelling,1,275409,1853,1303389,Construction,2013-06-03
188,FELICITY CRES,K1W 0C2,Ward 2,4M-1370,111,***CONTRACTOR***,Single,Gloucester,Construct an attached deck (Rear yard),0,3000,300,1303390,Construction,2013-06-03
680,ROCKROSE WAY,K1T 0L7,Ward 22,4M-1484,,TARTAN HOMES CORPORATION,Single,Gloucester,Construct a 2 storey detached dwelling,1,480999,3236,1303392,Construction,2013-06-03
1687,MONTREAL RD,K1J 6N6,Ward 11,118,,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit up in a 1 storey retail building (Le Chapo),0,80000,125,1303393,Construction,2013-06-03
23,BELLINGHAM PL,K1T 4B2,Ward 10,4M-997,,POOL SCAPES,Single,Old Ottawa,Install an enclosure for a semi inground pool (rear yard),0,0,0,1303394,Pool Enclosure,2013-06-03
10,CEDARBANK AVE,K2H 6E8,Ward 8,409252,580,POOL SCAPES,Single,Nepean,Install an enclosure for a semi inground pool (rear yard),0,0,0,1303395,Pool Enclosure,2013-06-03
30,PALSEN ST,K2G 2W1,Ward 8,522,39,SANDHU RENOVATIONS,Single,Nepean,Construct an addition at the rear and interior alterations to a 1 storey detached dwelling,0,80000,1630,1303396,Construction,2013-06-03
100,BAYSHORE DR,K2B 8C1,Ward 7,465465,17,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit up on the 1st floor of a 3 storey retail building (Bayshore Shopping Center - Victoria's Secret),0,570000,11442,1303397,Construction,2013-06-03
1200,ST. LAURENT BLVD,K1K 4K9,Ward 13,4M-747,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up in a 2 storey retail building (Unit 304, Telus)",0,240000,2287,1303398,Construction,2013-06-03
1900  -10,INNES RD,K1B 3K5,Ward 2,4M-,,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit up in a 1 storey restaraunt (UNIT B005D - LAZIZ BROAST),0,100000,1450,1303399,Construction,2013-06-03
5373,FERNBANK RD,K2S 0T7,Ward 6,4M-,30,CONTRACTOR UNKNOWN,Retail,Kanata,Tenant fit up in a 1 storey strip mall - Unit 3 - Nice One Nails,0,66800,2505,1303400,Construction,2013-06-03
1055,SECORD AVE,K1H 8C7,Ward 17,527,29,V. SANTAGUIDA CONSTRUCTION LTD,Demolition,Old Ottawa,Demolish a 1 1/2 storey detached dwelling,-1,5000,-850,1303401,Demolition,2013-06-03
1055,SECORD AVE,K1H 8C7,Ward 17,527,29,"SANTAGUIDA, CESARE",Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,400000,3600,1303402,Construction,2013-06-03
5034,MOWATVIEW CRT,K4M 1B2,Ward 20,,pt lot 26,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a 1 storey addition (front) and interior alterations to a 1 storey detached dwelling,0,59281,562,1303403,Construction,2013-06-03
2106,ARCH ST,K1G 2H4,Ward 18,707,133,"BOISVERT, JOHN",Single,Old Ottawa,Construct a carport (side yard),0,5000,225,1303405,Construction,2013-06-03
