ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
269,HUNTSVILLE DR,K2T 0H1,Ward 5,,112,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Kanata,REVISION TO PERMIT 1300859 - Add Option 8 (covered rear deck),0,1000,10,1300859,Construction,2013-04-23
41,IONA ST,K1Y 3L6,Ward 15,4M-48,2270,"NAFZIGER, LARYY",Single,Old Ottawa,Construct an addition to the front porch of a 2 storey detached dwelling,0,10400,70,1301597,Construction,2013-04-02
100,GLOUCESTER ST,K2P 0A4,Ward 14,2996,44,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 3rd & 4th floors of a 6 storey office building,0,125000,676,1301598,Construction,2013-04-02
108,POPPLEWELL CRES,K2J 5R3,Ward 3,,BLK 91,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Addison 2012,Strata 2012,Addison 2012,Strata 2012",4,665088,5966,1301599,Construction,2013-04-02
110,POPPLEWELL CRES,K2J 5R3,Ward 3,,BLK 91,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Addison 2012,Strata 2012,Addison 2012,Strata 2012",4,665088,5966,1301599,Construction,2013-04-02
112,POPPLEWELL CRES,K2J 5R3,Ward 3,,BLK 91,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Addison 2012,Strata 2012,Addison 2012,Strata 2012",4,665088,5966,1301599,Construction,2013-04-02
114,POPPLEWELL CRES,K2J 5R3,Ward 3,,BLK 91,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Addison 2012,Strata 2012,Addison 2012,Strata 2012",4,665088,5966,1301599,Construction,2013-04-02
3777,STRANDHERD DR,K2J 4B1,Ward 3,,15,ALL COVER PORTABLE SYSTEMS,Retail,Nepean,TEMPORARY PERMIT: Erect a temporary tent for a seasonal outdoor garden centre ( Ross' Your Independent Grocer),0,6000,12600,1301600,Construction,2013-04-02
1950,MERIVALE RD,K2G 5T5,Ward 9,402435,6,CONTRACTOR UNKNOWN,Office,Nepean,Interior alterations on the 1st and 2nd floor of a 2 storey office building,0,6500,312,1301602,Construction,2013-04-02
9,SLACK RD,K2G 0B7,Ward 9,402435,26,CONTRACTOR UNKNOWN,Office,Nepean,Interior /Exterior alterations to upgrade the windows in a 2 storey office building,0,18000,20,1301603,Construction,2013-04-02
99,ASHGROVE CRES,K2G 0T2,Ward 8,551284,62,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in the basement of a 2 storey detached dweling,0,3500,42,1301604,Construction,2013-04-02
237,CRESTHAVEN DR,K2G 6X1,Ward 22,4M-1140,,***CONTRACTOR***,Rowhouse,Nepean,Construct a deck at the rear of a 2 storey townhouse,0,10000,40,1301605,Construction,2013-04-02
1130,MORRISON DR,K2H 9N6,Ward 8,447761,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to the ground floor of a 3 storey office building (suite 120 - J. And R. Chawla Medicine),0,50000,1500,1301606,Construction,2013-04-02
115,KINCARDINE DR,K2V 1B1,Ward 23,4M-956,,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1301607,Construction,2013-04-02
1368,BELCOURT BLVD,,Ward 2,86,22-23,CONTRACTOR UNKNOWN,Semi - Detached,Gloucester,Construct a 2 and 3 storey semi-detached dwelling,2,242750,3036,1301608,Construction,2013-04-02
1370,BELCOURT BLVD,,Ward 2,86,22-23,CONTRACTOR UNKNOWN,Semi - Detached,Gloucester,Construct a 2 and 3 storey semi-detached dwelling,2,242750,3036,1301608,Construction,2013-04-02
380,GERRY LALONDE DR,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,"Construct a 2 Storey Rowhouse with attached garages  Models: T1 2007,T1 2007,T5 2007,T4 2007",4,733313,6578,1301609,Construction,2013-04-02
382,GERRY LALONDE DR,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,"Construct a 2 Storey Rowhouse with attached garages  Models: T1 2007,T1 2007,T5 2007,T4 2007",4,733313,6578,1301609,Construction,2013-04-02
384,GERRY LALONDE DR,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,"Construct a 2 Storey Rowhouse with attached garages  Models: T1 2007,T1 2007,T5 2007,T4 2007",4,733313,6578,1301609,Construction,2013-04-02
386,GERRY LALONDE DR,,Ward 19,,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,"Construct a 2 Storey Rowhouse with attached garages  Models: T1 2007,T1 2007,T5 2007,T4 2007",4,733313,6578,1301609,Construction,2013-04-02
1278,MARYGROVE CIR,K2C 2C9,Ward 8,330973,207,***CONTRACTOR***,Single,Old Ottawa,Construct a 2 storey addition at the rear of a 1 storey detached dwelling,0,115000,1000,1301610,Construction,2013-04-02
53,ROTHESAY DR,K2L 1N6,Ward 23,879,ptlot 690,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1301611,Construction,2013-04-02
10,COURTNEY RD,K2L 1L8,Ward 23,4M-,,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1301612,Construction,2013-04-02
