ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
548,KATNICK WAY,K2T 0E7,Ward 4,4M-1380,143,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,477283,3211,1405130,Construction,2014-08-01
1487,RIDGEBROOK DR,K1B 4K6,Ward 11,M-123,,CONTRACTOR UNKNOWN,Institutional,Gloucester,Interior alterations to an Elementary School (Des Pins),0,1300000,24865,1405131,Construction,2014-08-01
30,MATTAWA CRES,K2M 2E8,Ward 23,4M-782,69,OTTAWA STRUCTURAL RESIDENTIAL SERVICES LIMITED,Single,Kanata,Exterior alterations - Partial foundation replacement on an attached 1 storey garage,0,25000,0,1405132,Construction,2014-08-01
502,IVY GREEN WAY,K1T 0L2,Ward 22,4M-1462,23,KAT DESIGNS & CONSTRUCTION INC.,Single,Gloucester,Finish the basement in a 2 storey detached dwelling,0,35302,950,1405133,Construction,2014-08-01
30,ELLISSON WAY,K1G 4P6,Ward 10,4M-554,111,OTTAWA STRUCTURAL RESIDENTIAL SERVICES LIMITED,Single,Old Ottawa,Repair foundation of attached garage,0,8500,50,1405134,Construction,2014-08-01
250,MCELROY DR,K2L 1Y4,Ward 23,896,1175,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1405135,Construction,2014-08-01
2450,LOOKOUT DR,K4C 1B7,Ward 19,50M-60,14,***CONTRACTOR***,Single,Cumberland,Construct a deck (rear yard),0,3000,280,1405136,Construction,2014-08-01
101,GLEBE AVE,K1S 2C2,Ward 17,M-40,35,TERRA NOVA BUILDING CORPORATION,Single,Old Ottawa,Construct a 2 storey detached dwelling,1,517825,4251,1405138,Construction,2014-08-01
101,GLEBE AVE,K1S 2C2,Ward 17,M-40,35,TERRA NOVA BUILDING CORPORATION,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,8000,-3400,1405142,Demolition,2014-08-01
8555,CAMPEAU DR,K2T 0K5,Ward 4,4M-,3,CANZAN CONTRACTING LTD,Retail,Kanata,"Tenant fit-up in a 1 storey retail building (Tanger Outlets - Town Shoes, Unit #970)",0,130915,3523,1405143,Construction,2014-08-01
