ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
110  -55,HAVELOCK ST,K1S 5L3,Ward 17,CCC 249,,OLSEN HOME EXTERIORS,Rowhouse,Old Ottawa,Repair balcony on a 2 storey rowhouse dwelling,0,22000,192,1407458,Construction,2014-10-01
2639,FLANNERY DR,K1V 8L9,Ward 16,749,268,THE LEISURE STORE,Single,Old Ottawa,Construct a 3 season sunroom (rear yard),0,12000,155,1407459,Construction,2014-10-01
1050,BOUCHER CRES,K4M 1B3,Ward 21,487,2,CONTRACTOR UNKNOWN,Single,Rideau,Construct a 2 storey addition to a 2 storey detached dwelling (rear),0,197580,1435,1407460,Construction,2014-10-01
9478,RUSSELL RD,K4B 1J1,Ward 19,,21 & 22,CONTRACTOR UNKNOWN,Farm,Cumberland,Construct a 1 storey barn,0,120000,1080,1407461,Construction,2014-10-01
8725,COOPER HILL RD,K0A 2P0,Ward 20,4M-,10,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a storage garage (side yard),0,30000,893,1407462,Construction,2014-10-01
175,TRAINYARDS DR,K1G 3X8,Ward 18,4M-,,MAX CONTRACTING,Retail,Old Ottawa,"Interior alterations to a 1 storey retail building (Artemano, Building M)",0,500000,9440,1407463,Construction,2014-10-01
2910,WOODROFFE AVE,K2J 4G3,Ward 3,4M-796,,JD CONSTRUCTION MANAGEMENT,Retail,Nepean,Interior alterations to a 1 storey retail building (demolish front wall and add new window & door),0,21000,1350,1407464,Construction,2014-10-01
3396,JOCKVALE RD,K2J 4J8,Ward 3,,,KARSON KONSTRUCTION,Demolition,Nepean,Demolish a 1 storey detached dwelling and garage,-1,10000,-3193,1407465,Demolition,2014-10-01
839,BORLAND DR,K1E 1X3,Ward 1,M18,56,***CONTRACTOR***,Single,Cumberland,Interior alterations to construct a bathroom in the basement,0,15000,57,1407466,Construction,2014-10-01
6139,FERNBANK RD,K2S 1B6,Ward 6,655,19,TIMBERCROSS HOMES INC,Demolition,Goulbourn,Demolish a 1 storey detached dwelling,-1,1000,-853,1407467,Demolition,2014-10-01
