ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
651,CHAPMAN MILLS DR,K2J 0W7,Ward 22,4M-1374,14 & 15,REYNALD DION CONSULTING & SERVICES INC.,Institutional,Nepean,Install 96 solar panels on the roof of a 2 storey institutional building (Jean-Robert Gauthier School) and localized roof structure strengthening.,0,187847,400,1205117,Construction,2012-08-01
676,LAKERIDGE DR,K4A 0J8,Ward 19,4M-1352,,REYNALD DION CONSULTING & SERVICES INC.,Institutional,Cumberland,Install 96 solar panels on the roof of a school and a localized roof structure strengthening,0,186845,570,1205118,Construction,2012-08-01
226,SOLEIL AVE,K4A 0V9,Ward 19,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 5, 2 storey rowhouses with attached garages  Models: Maplefield 2011 End B,Maplefield 2011 End B,Fernwater 2011 B,Maplefield 2011 B,Berrygrove 2011 B",5,552730,7539,1205119,Construction,2012-08-01
228,SOLEIL AVE,K4A 0V9,Ward 19,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 5, 2 storey rowhouses with attached garages  Models: Maplefield 2011 End B,Maplefield 2011 End B,Fernwater 2011 B,Maplefield 2011 B,Berrygrove 2011 B",5,552730,7539,1205119,Construction,2012-08-01
230,SOLEIL AVE,K4A 0V9,Ward 19,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 5, 2 storey rowhouses with attached garages  Models: Maplefield 2011 End B,Maplefield 2011 End B,Fernwater 2011 B,Maplefield 2011 B,Berrygrove 2011 B",5,552730,7539,1205119,Construction,2012-08-01
232,SOLEIL AVE,K4A 0V9,Ward 19,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 5, 2 storey rowhouses with attached garages  Models: Maplefield 2011 End B,Maplefield 2011 End B,Fernwater 2011 B,Maplefield 2011 B,Berrygrove 2011 B",5,552730,7539,1205119,Construction,2012-08-01
234,SOLEIL AVE,K4A 0V9,Ward 19,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Cumberland,"Construct a block of 5, 2 storey rowhouses with attached garages  Models: Maplefield 2011 End B,Maplefield 2011 End B,Fernwater 2011 B,Maplefield 2011 B,Berrygrove 2011 B",5,552730,7539,1205119,Construction,2012-08-01
7,THRESHER AVE,K2S 1X8,Ward 6,4M-1057,80,MERMAID POOLS,Single,Goulbourn,Enclosure of an inground pool in the rear yard of detached dwelling,0,0,0,1205120,Pool Enclosure,2012-08-01
390,THOMAS A. DOLAN PKWY,,Ward 5,,26,1024223 ONTARIO INC. (JOHN KEINDEL),Single,Kanata,Construct a 1 storey addition at the side of a 1 storey detached dwelling,0,50160,408,1205121,Construction,2012-08-01
100,BAYSHORE DR,K2B 8C1,Ward 7,4M-,,CONTRACTOR UNKNOWN,Retail,Nepean,"Tenant fit-up in a 3 storey retail building (Geox, Unit CRU BX5)",0,75000,1393,1205122,Construction,2012-08-01
151,COUNTRY CARRIAGE WAY,K0A 1L0,Ward 5,4M-1194,28,CLUB PISCINE,Single,West Carleton,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1205124,Pool Enclosure,2012-08-01
151,COUNTRY CARRIAGE WAY,K0A 1L0,Ward 5,4M-1194,28,***CONTRACTOR***,Single,West Carleton,Construct a deck at the rear of a 1 storey detached dwelling,0,3000,200,1205125,Construction,2012-08-01
160,HARRY MACKAY RD,,Ward 5,373,PT LOT 1,***CONTRACTOR***,Single,West Carleton,Construct a deck at the rear of a detached dwelling,0,4000,364,1205126,Construction,2012-08-01
49,BELL ST,K2S 2A8,Ward 6,4M-1107,156,***CONTRACTOR***,Single,Goulbourn,Construct a deck at the rear of a 1 storey detached dwelling,0,4000,192,1205127,Construction,2012-08-01
214,BLACK SAGE CRES,K1V 2J7,Ward 22,4M-1328,60,HICKORY DICKORY DECKS - OTTAWA EAST,Single,Gloucester,Construct a deck at the rear of a 2 storey detached dwelling,0,5709,301,1205128,Construction,2012-08-01
2042,GATINEAU VIEW CRES,K1J 7X1,Ward 11,851,711,HICKORY DICKORY DECKS - OTTAWA EAST,Semi - Detached,Gloucester,Construct a deck at the rear of a 2 storey detached dwelling,0,2232,96,1205129,Construction,2012-08-01
2,BRIDGEWATER TER,K2J 3G7,Ward 3,4M-603,,HICKORY DICKORY DECKS - OTTAWA EAST,Single,Nepean,Construct a deck at the rear of a 2 storey deatched dwelling,0,3026,144,1205130,Construction,2012-08-01
1361,BADEN AVE,K1T 1V8,Ward 10,M219,5,OTTAWA HOME IMPROVEMENT CORP,Single,Gloucester,Construct an addition at the rear of a 2 storey detached dwellling,0,50000,160,1205131,Construction,2012-08-01
18,PANAMA AVE,K2H 7R2,Ward 8,M-65,11,***CONTRACTOR***,Single,Nepean,Exterior alterations to replace the roof of a 1 storey detached dwelling,0,12100,814,1205132,Construction,2012-08-01
437,KEITH CRES,K1W 0A5,Ward 2,4M-1318,19,MERMAID POOLS-GATINEAU,Single,Gloucester,Enclosure of an inground pool in the rear of a detached dwelling,0,0,0,1205133,Pool Enclosure,2012-08-01
505,INDUSTRIAL AVE,K1G 0Z1,Ward 18,560,13 & 14,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up in a 1 storey retail building (Beaudry's Flowers),0,60000,3197,1205134,Construction,2012-08-01
