ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
50,O'CONNOR ST,K1A 0S6,Ward 14,3922,,GOVAN BROWN INC.,Office,Old Ottawa,Interior alterations to the 13th floor of a 17 storey office building,0,85000,2000,1200001,Construction,2012-01-03
622,THESSALY CIRC,K1H 5W5,Ward 18,599,"PT 67, 68, 69",CONTRACTOR UNKNOWN,Detached Garage/Shed,Old Ottawa,Remove and replace a detached 1 car garage in the rear yard of a 1 storey semi-detached dwelling,0,5000,226,1200002,Construction,2012-01-03
624,THESSALY CIRC,K1H 5W5,Ward 18,559,65 to 67,CONTRACTOR UNKNOWN,Detached Garage/Shed,Old Ottawa,Remove and replace a detached 1 car garage in the rear yard of a 1 storey semi-detached dwelling,0,5000,226,1200003,Construction,2012-01-03
123,TRAILSEDGE WAY,K1W 0G6,Ward 2,,54 (TS),RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single without attached garage  Model: 43-08 Foxden 2010 A 3 Bedroom,1,183051,2469,1200004,Construction,2012-01-03
1460,MERIVALE RD,K2E 5P2,Ward 9,30,17 - 19,CONTRACTOR UNKNOWN,Retail,Nepean,Interior alterations in a 1 storey retail building (Pet Value),0,90000,2853,1200005,Construction,2012-01-03
36,WESTMOUNT AVE,K1Y 3K3,Ward 15,107254,68,AIM WASTE MANAGEMENT,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,17250,-1184,1200006,Demolition,2012-01-03
34,WESTMOUNT AVE,K1Y 3K3,Ward 15,107254,69,AIM WASTE MANAGEMENT,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,13500,-102,1200007,Demolition,2012-01-03
32,WESTMOUNT AVE,K1Y 3K3,Ward 15,107254,70,AIM WASTE MANAGEMENT,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,13850,-94,1200008,Demolition,2012-01-03
44,WESTMOUNT AVE,K1Y 3K3,Ward 15,107254,55-56,AIM WASTE MANAGEMENT,Demolition,Old Ottawa,Demolish a 2 storey semi-detached dwelling,-2,28800,-220,1200009,Demolition,2012-01-03
46,WESTMOUNT AVE,K1Y 3K3,Ward 15,107254,55-56,AIM WASTE MANAGEMENT,Demolition,Old Ottawa,Demolish a 2 storey semi-detached dwelling,-2,28800,-220,1200009,Demolition,2012-01-03
40,WESTMOUNT AVE,K1Y 3K3,Ward 15,107254,55-56,AIM WASTE MANAGEMENT,Demolition,Old Ottawa,Demolish a 2 storey semi-detached dwelling,-2,21400,-2368,1200010,Demolition,2012-01-03
42,WESTMOUNT AVE,K1Y 3K3,Ward 15,107254,55-56,AIM WASTE MANAGEMENT,Demolition,Old Ottawa,Demolish a 2 storey semi-detached dwelling,-2,21400,-2368,1200010,Demolition,2012-01-03
972,BEAUDRY ST,K1K 3S1,Ward 13,4M-593,3,VIPOND FIRE PROTECTION,Institutional,Old Ottawa,Interior alterations (water service and sprinkler) to a 1 storey group home,0,54000,269,1200011,Construction,2012-01-03
11,ROBERGE CRES,K2L 4G6,Ward 23,4M-1003,45,SIERRA SUNROOMS,Single,Kanata,Construct a 1 storey addition with sunroom at the rear of a 1 storey detached dwelling,0,49319,217,1200012,Construction,2012-01-03
5357,FERNBANK RD,K2S 1B6,Ward 6,,30,VCL CONSTRUCTION,Retail,Kanata,PARTIAL PERMIT- Construct a steel structure only for a 1 storey retail building (Walmart),0,0,156760,1200015,Construction,2012-01-03
7332,BLUE WATER CRES,K4P 0C5,Ward 20,4M-1398,9,PALMA CUSTOM HOMES,Single,Osgoode,Construct a 1 storey detached dwelling with attached garage,1,225000,3000,1200017,Construction,2012-01-03
2524,RIVER RD,K4M 1B4,Ward 20,,19,CONTRACTOR UNKNOWN,Single,Osgoode,Interior alterations to the main floor of a 2 storey detached dwelling,0,25000,256,1200019,Construction,2012-01-03
56,FRANK ST,K2P 0X2,Ward 14,15558,62,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling,0,30000,161,1200020,Construction,2012-01-03
179,SHEPODY CIRC,K1T 4J1,Ward 22,4M-1273,43,CONTRACTOR UNKNOWN,Single,Gloucester,Interior alterations in the basement of a 2 storey detached dwelling,0,5000,807,1200021,Construction,2012-01-03
181,QUEEN ST,K1P 1K9,Ward 14,3922,9-11,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to the 9th floor of a 13 storey office complex,0,48017,1000,1200023,Construction,2012-01-03
845,ROCKSON CRES,K2S 0S6,Ward 6,,22,METRIC HOMES,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garage,1,185000,2500,1200024,Construction,2012-01-03
545,WEST HUNT CLUB RD,K2G 5W5,Ward 9,,28,GUILDCREST HOMES BUILDING CORPORATION,Single,Nepean,TEMPORARY PERMIT  - Construct a 1 storey detached dwelling- (CHEO Dream Cottage),0,6000,1800,1200026,Construction,2012-01-03
1053,CARLING AVE,K1Y 4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 1st floor of a 8 storey institutional building,0,1200000,9788,1200027,Construction,2012-01-04
61,BILL LEATHEM DR,K2J 0P7,Ward 22,4M-1354,,RON ENGINEERING & CONSTRUCTION (EASTERN) LTD,Office,Nepean,Interior alteratsions to the 1st floor of a 3 storey commercial office building.,0,80000,2000,1200028,Construction,2012-01-04
160,CHENOA WAY,,Ward 3,4M-1423,50309,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Mahogany 2010 C with loft,1,203200,2760,1200029,Construction,2012-01-04
418,DOVEHAVEN ST,,Ward 2,,15,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Paris 2009 B 4 bed,1,189270,2561,1200030,Construction,2012-01-04
4475,TRAIL RD,K0A 2Z0,Ward 21,,,INTEGRATED GAS RECOVERY SERVICES,Industrial,Nepean,Construct an addition at the side of a 1 storey industrial building,0,120000,600,1200031,Construction,2012-01-04
612,PAMPLONA PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T9-3 2010 B,T9-4 2010 B,T9-5 2010 B,T9-5 2010 B,T9-3 2010 B,T9-4 2010 B",6,688440,9120,1200032,Construction,2012-01-04
614,PAMPLONA PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T9-3 2010 B,T9-4 2010 B,T9-5 2010 B,T9-5 2010 B,T9-3 2010 B,T9-4 2010 B",6,688440,9120,1200032,Construction,2012-01-04
616,PAMPLONA PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T9-3 2010 B,T9-4 2010 B,T9-5 2010 B,T9-5 2010 B,T9-3 2010 B,T9-4 2010 B",6,688440,9120,1200032,Construction,2012-01-04
618,PAMPLONA PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: T9-3 2010 B,T9-4 2010 B,T9-5 2010 B,T9-5 2010 B,T9-3 2010 B,T9-4 2010 B",6,688440,9120,1200032,Construction,2012-01-04
