ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
296,TRAILGATE ST,K1V 0Z7,Ward 22,4M-1349,70,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage - Model: Custom Sacramento 08,1,217930,2899,1203172,Construction,2012-06-01
139,FANSHAW AVE,K1H 6C8,Ward 18,608,65,GARTH HAUGRUD CONSTRACTING,Single,Old Ottawa,Interior alterations on the 2nd floor of a 2 storey detached dwelling,0,6500,43,1203173,Construction,2012-06-01
80,MACDONALD ST,K2P 1H6,Ward 14,15558,59,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a bathroom in the basement of a 2 storey detached dwelling,0,6666,30,1203174,Construction,2012-06-01
89,GILCHRIST AVE,K1Y 0M9,Ward 15,M-52,856,MR. ROOTER PLUMBING,Single,Old Ottawa,PLUMBING ONY - INSTALL A MAINLINE BACKWATER VALVE ON THE SANITARY SEWER IN A DETACHED DWELLING,0,0,0,1203175,Construction,2012-06-01
824,IVANHOE AVE,K2B 5S3,Ward 7,311,92,RIDEAU CROSSING DEVELOPMENTS,Semi - Detached,Old Ottawa,Construct a semi detached dwelling with attached garages,2,500000,4306,1203176,Construction,2012-06-01
826,IVANHOE AVE,K2B 5S3,Ward 7,311,92,RIDEAU CROSSING DEVELOPMENTS,Semi - Detached,Old Ottawa,Construct a semi detached dwelling with attached garages,2,500000,4306,1203176,Construction,2012-06-01
828,IVANHOE AVE,K2B 5S3,Ward 7,311,92,***CONTRACTOR***,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,7000,-800,1203177,Demolition,2012-06-01
5725,STUEWE DR,K4M 1L2,Ward 20,4M-1060,1,"VANHERPT, CHRIS",Single,Osgoode,Construct a 1 storey detached dwelling  with loft with attached 3 car garage,1,280000,3428,1203178,Construction,2012-06-01
109,TOPOL LANE,K0A 1L0,Ward 5,4M-402,8,MERMAID POOLS (MERIVALE),Single,West Carleton,Enclosure of a semi inground pool in the rear yard of a detached dwelling,0,0,0,1203179,Pool Enclosure,2012-06-01
60,CAMBRIDGE ST N,K1R 7A5,Ward 14,3459,1-19,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 2nd to 5th floors of a 6 storey institutional building (Bruyere Continuing Care),0,82500,93,1203180,Construction,2012-06-01
